Epoch,Loss,Cost,Advantage,Time
0,-150.78616333007812,-19.414581298828125,2.00960636138916,2.6808083057403564
1,31.193527221679688,-16.702495574951172,-0.48920002579689026,4.842264175415039
2,139.06222534179688,-15.084419250488281,-2.1133928298950195,7.199618101119995
3,210.294921875,-13.995736122131348,-3.2780392169952393,9.479802131652832
4,275.08563232421875,-12.742712020874023,-4.636701583862305,11.833643198013306
5,315.3952941894531,-11.44706916809082,-5.8008928298950195,13.940770149230957
6,327.93084716796875,-10.617783546447754,-6.521533489227295,16.26480007171631
7,336.6119384765625,-10.232381820678711,-7.129571437835693,18.33976721763611
8,330.4915771484375,-9.91305160522461,-7.264218807220459,20.529874324798584
9,318.3636474609375,-9.610457420349121,-7.478200912475586,22.558394193649292
10,335.8790283203125,-9.408422470092773,-8.089924812316895,24.86773109436035
11,320.2589111328125,-9.245574951171875,-8.069428443908691,26.924800157546997
12,322.7599182128906,-9.154483795166016,-8.395366668701172,29.10219430923462
13,309.4393310546875,-8.822381019592285,-8.43708610534668,31.370488166809082
14,308.2185974121094,-8.700887680053711,-8.60666275024414,33.44609832763672
15,300.57037353515625,-8.860090255737305,-8.4360990524292,35.58399415016174
16,287.0224304199219,-8.862676620483398,-8.322704315185547,37.69890999794006
17,267.9412841796875,-8.861940383911133,-7.955730438232422,39.83602213859558
18,265.7576904296875,-8.762914657592773,-8.014998435974121,41.89665222167969
19,260.53271484375,-8.904905319213867,-7.755079746246338,44.13706421852112
20,239.22543334960938,-8.843628883361816,-7.271812438964844,46.16908121109009
21,234.61671447753906,-8.912687301635742,-7.18974494934082,48.36068415641785
22,223.52334594726562,-8.798362731933594,-6.820309638977051,50.51007533073425
23,207.6157684326172,-8.767078399658203,-6.543570518493652,52.64800524711609
24,208.57644653320312,-8.706367492675781,-6.50465202331543,54.695449113845825
25,176.1179962158203,-8.652389526367188,-5.569182395935059,56.924182176589966
26,172.56509399414062,-8.542450904846191,-5.392154693603516,58.92488217353821
27,150.07421875,-8.42959976196289,-4.938876628875732,61.041656255722046
28,146.03770446777344,-8.276056289672852,-4.715917587280273,63.04146933555603
29,127.82572174072266,-8.255319595336914,-4.182799339294434,65.2618989944458
30,117.0487060546875,-8.136096954345703,-3.7492241859436035,67.25174117088318
31,110.43734741210938,-8.204900741577148,-3.482832193374634,69.36156129837036
32,93.00552368164062,-8.150980949401855,-2.9419755935668945,71.40990018844604
33,81.76720428466797,-8.036819458007812,-2.6030752658843994,73.32578825950623
34,82.191162109375,-8.071276664733887,-2.541257381439209,75.27137422561646
35,65.6867446899414,-8.047432899475098,-2.0371458530426025,77.24622535705566
36,69.77906799316406,-8.026567459106445,-2.1640408039093018,79.09714722633362
37,49.58192825317383,-7.913942337036133,-1.536704421043396,81.05887913703918
38,52.08429718017578,-7.931764602661133,-1.6188325881958008,82.78698706626892
39,37.6351318359375,-7.912351608276367,-1.1607162952423096,84.98906517028809
40,32.24048614501953,-7.903854846954346,-1.0073357820510864,86.81347727775574
41,32.16530990600586,-7.925111770629883,-0.9853223562240601,88.6634681224823
42,24.34899139404297,-7.832799434661865,-0.7666789293289185,90.52823400497437
43,15.436580657958984,-7.887341022491455,-0.5252184867858887,92.34088826179504
44,16.66619873046875,-7.775305271148682,-0.549049973487854,93.95645427703857
45,20.196693420410156,-7.830750942230225,-0.6246461868286133,95.79835915565491
46,19.463035583496094,-7.780513763427734,-0.6325602531433105,97.63553524017334
47,13.605284690856934,-7.804155349731445,-0.47482332587242126,99.37394118309021
48,9.057624816894531,-7.864773750305176,-0.3143368363380432,101.06375813484192
49,11.363851547241211,-7.837235450744629,-0.39398348331451416,102.82136702537537
50,3.84830641746521,-7.835425853729248,-0.18521371483802795,104.38745927810669
51,5.31160306930542,-7.734126091003418,-0.21251323819160461,106.17337822914124
52,2.7343802452087402,-7.816257476806641,-0.14575357735157013,107.84247303009033
53,4.564331531524658,-7.75046443939209,-0.17432166635990143,109.5522072315216
54,6.349059581756592,-7.757884502410889,-0.24846626818180084,111.193932056427
55,5.524374961853027,-7.697875022888184,-0.22372305393218994,112.87317824363708
56,-1.0265860557556152,-7.807851791381836,-0.01885356567800045,114.653804063797
57,0.5205804109573364,-7.69404411315918,-0.07765942811965942,116.25524306297302
58,-2.4215264320373535,-7.679438591003418,0.02583429217338562,117.92291307449341
59,2.2588486671447754,-7.618756294250488,-0.11570626497268677,119.50636005401611
60,-1.6052677631378174,-7.63383674621582,0.003917086869478226,121.15977811813354
61,-2.2133872509002686,-7.635713577270508,0.014595255255699158,122.84949207305908
62,-2.7827301025390625,-7.614513874053955,0.06635714322328568,124.52341032028198
63,-2.593794822692871,-7.645050048828125,0.04662232846021652,126.04683232307434
64,-2.0715668201446533,-7.599750518798828,0.022625770419836044,127.75646328926086
65,-4.428507328033447,-7.534566402435303,0.09222563356161118,129.29487204551697
66,-2.9064712524414062,-7.55967378616333,0.04913877695798874,131.01761412620544
67,-1.7230042219161987,-7.539832592010498,-0.002598235383629799,132.62397122383118
68,-1.4499266147613525,-7.419794082641602,0.0018829554319381714,134.30099320411682
69,-0.18637889623641968,-7.403400421142578,-0.05190153792500496,135.84941625595093
70,-2.597362518310547,-7.459604263305664,0.031528666615486145,137.5518181324005
71,-1.044119119644165,-7.468764305114746,-0.005470627918839455,139.16934037208557
72,-4.270642280578613,-7.500744342803955,0.07391227781772614,140.7865390777588
73,-0.42415156960487366,-7.426293849945068,-0.025651540607213974,142.32155418395996
74,-3.6708247661590576,-7.427443504333496,0.06166047975420952,144.03029203414917
75,-0.4852234125137329,-7.4009833335876465,-0.02653997205197811,145.5712730884552
76,-0.3508457541465759,-7.432061195373535,-0.032499611377716064,147.18968605995178
77,-1.230363368988037,-7.352203369140625,-0.019608773291110992,148.82943415641785
78,-1.333966612815857,-7.415674209594727,0.007487442344427109,150.5174331665039
79,-0.6465657949447632,-7.327432632446289,-0.013335907831788063,152.04342818260193
80,-1.2313928604125977,-7.285652160644531,-0.003644503653049469,153.6750750541687
81,0.5224236845970154,-7.310478210449219,-0.061719875782728195,155.35171627998352
82,-0.3928558826446533,-7.2935709953308105,-0.04049431532621384,156.99226021766663
83,-1.1712249517440796,-7.283045768737793,-0.001623261719942093,158.57268834114075
84,-1.8244868516921997,-7.237074851989746,0.013628493994474411,160.31738710403442
85,-1.086836814880371,-7.232255935668945,-0.006688419729471207,161.8535282611847
86,-3.616337776184082,-7.26671028137207,0.08248180896043777,163.51228594779968
87,-1.4908945560455322,-7.248069763183594,0.008958060294389725,165.13821125030518
88,-3.3493244647979736,-7.236758708953857,0.05645224079489708,166.80640530586243
89,-2.2781543731689453,-7.193070411682129,0.03487524390220642,168.31761121749878
90,-2.1656746864318848,-7.238593101501465,0.019674137234687805,169.98292112350464
91,1.121819257736206,-7.189601898193359,-0.07342679053544998,171.62800908088684
92,-3.7941293716430664,-7.263154029846191,0.055639006197452545,173.25454425811768
93,-2.4768028259277344,-7.239453315734863,0.04095752537250519,174.8063931465149
94,-2.478426456451416,-7.260566711425781,0.040103331208229065,176.6311490535736
95,-1.8115432262420654,-7.210519313812256,0.01605331525206566,178.16171216964722
96,-1.5786032676696777,-7.202635765075684,0.013360101729631424,179.86970710754395
97,-2.738797903060913,-7.202997207641602,0.052318938076496124,181.5328130722046
98,-0.017180979251861572,-7.120750904083252,-0.04864972084760666,183.2508101463318
