Epoch,Loss,Cost,Advantage,Time
0,123.6777572631836,-30.113731384277344,-1.0970340967178345,3.7910361289978027
1,170.0271453857422,-29.232067108154297,-1.5751512050628662,7.466850996017456
2,176.95883178710938,-29.338293075561523,-1.644991397857666,10.952878952026367
3,262.32928466796875,-28.633403778076172,-2.38889741897583,14.640444040298462
4,247.72808837890625,-28.643993377685547,-2.314152717590332,18.00694179534912
5,167.812744140625,-28.76338005065918,-1.6180819272994995,21.53422784805298
6,294.2603759765625,-28.082225799560547,-2.795560121536255,25.056145906448364
7,195.25978088378906,-28.052448272705078,-1.9147361516952515,28.28177499771118
8,183.57391357421875,-27.971923828125,-1.8289191722869873,31.47129487991333
9,215.8192138671875,-28.000694274902344,-2.091219425201416,34.51445293426514
10,172.17367553710938,-27.893098831176758,-1.7693638801574707,37.387341022491455
11,177.4032440185547,-27.70907974243164,-1.8073763847351074,40.241055965423584
12,197.7836456298828,-27.679353713989258,-2.1150262355804443,42.90199112892151
13,224.1876220703125,-26.952171325683594,-2.43271541595459,45.33937883377075
14,194.96017456054688,-27.786861419677734,-2.165531635284424,48.07812690734863
15,235.85122680664062,-27.149927139282227,-2.6287851333618164,50.54129886627197
16,221.20553588867188,-27.466333389282227,-2.469370126724243,53.05178689956665
17,159.3297882080078,-26.88981056213379,-1.8158681392669678,55.58297681808472
18,174.7832489013672,-26.799537658691406,-2.0101356506347656,58.03149104118347
19,150.43927001953125,-27.159683227539062,-1.7744154930114746,60.517374992370605
20,197.6160888671875,-26.8080997467041,-2.3729400634765625,63.05884575843811
21,157.5025177001953,-26.82875633239746,-1.8742156028747559,65.42527198791504
22,110.66329956054688,-27.367448806762695,-1.3305139541625977,67.9837417602539
23,141.3839569091797,-27.159292221069336,-1.7049992084503174,70.46507787704468
24,118.84197998046875,-27.176103591918945,-1.5261386632919312,72.79961109161377
25,119.26410675048828,-27.33127212524414,-1.4956483840942383,75.15284395217896
26,131.73435974121094,-26.919660568237305,-1.6145586967468262,77.51420998573303
27,131.68682861328125,-27.250961303710938,-1.6326212882995605,79.71198892593384
28,129.34800720214844,-26.781789779663086,-1.6522324085235596,81.91683292388916
29,103.90787506103516,-27.11441993713379,-1.2952812910079956,84.24558401107788
30,137.60337829589844,-26.871410369873047,-1.7266515493392944,86.35872411727905
31,83.01019287109375,-27.00298500061035,-1.093949794769287,88.64123797416687
32,69.06078338623047,-27.055179595947266,-0.8995976448059082,90.72603106498718
33,63.587867736816406,-27.167583465576172,-0.9262683391571045,92.79693293571472
34,51.716644287109375,-26.60620880126953,-0.7148051857948303,94.93113207817078
35,86.49369812011719,-26.499942779541016,-1.1420040130615234,96.9765510559082
36,78.81500244140625,-26.686302185058594,-1.0583157539367676,99.20338606834412
37,99.26520538330078,-26.12335968017578,-1.3009445667266846,101.44678092002869
38,49.04108428955078,-26.776046752929688,-0.6056294441223145,103.39392876625061
39,34.22625732421875,-26.77091407775879,-0.45711779594421387,105.3162190914154
40,31.554256439208984,-26.203113555908203,-0.4656166136264801,107.41294503211975
41,72.05512237548828,-26.391963958740234,-0.9543921947479248,109.3744490146637
42,72.80500793457031,-26.001567840576172,-1.0279713869094849,111.30668210983276
43,43.11346435546875,-26.302804946899414,-0.6214710474014282,113.2812168598175
44,88.25674438476562,-25.4876708984375,-1.2869610786437988,115.21822500228882
45,29.000953674316406,-26.204044342041016,-0.4204363524913788,117.07554602622986
46,50.088157653808594,-25.77375602722168,-0.6593651175498962,119.09524488449097
47,19.11637306213379,-25.84623146057129,-0.2680544853210449,120.99488997459412
48,24.843158721923828,-25.30373191833496,-0.35198527574539185,122.87916207313538
49,80.32316589355469,-24.95917510986328,-1.1564010381698608,124.7109727859497
50,5.560300827026367,-25.952083587646484,-0.12394492328166962,126.49352788925171
51,38.3211555480957,-25.676877975463867,-0.5618954300880432,128.47144293785095
52,90.03102111816406,-24.926237106323242,-1.3535927534103394,130.33715081214905
53,28.33993911743164,-25.39871597290039,-0.38250309228897095,132.15236973762512
54,36.51236343383789,-25.299545288085938,-0.5599557757377625,134.0856637954712
55,79.98204040527344,-25.113300323486328,-1.1784088611602783,135.8848340511322
56,41.5704460144043,-25.448083877563477,-0.6090012788772583,137.6953320503235
57,85.63739013671875,-24.822790145874023,-1.289595603942871,139.5902030467987
58,17.623809814453125,-25.161762237548828,-0.280089795589447,141.46076202392578
59,44.17677307128906,-25.0456485748291,-0.6837495565414429,143.28612804412842
60,0.11609220504760742,-24.824209213256836,-0.03586650639772415,145.13989090919495
61,31.67414665222168,-24.59808349609375,-0.548168957233429,146.8682119846344
62,22.75800132751465,-24.64447593688965,-0.4308445453643799,148.66726279258728
63,-36.692649841308594,-25.230953216552734,0.5052871108055115,150.59355902671814
64,22.182823181152344,-24.78072738647461,-0.4022083878517151,152.3366949558258
65,-14.486594200134277,-24.934085845947266,0.16905899345874786,154.1504590511322
66,36.44371032714844,-24.860578536987305,-0.6264069676399231,156.04849290847778
67,17.86244773864746,-24.736919403076172,-0.32025331258773804,157.79516887664795
68,-19.94272232055664,-24.404027938842773,0.2585163116455078,159.60271191596985
69,14.392914772033691,-24.458885192871094,-0.22159621119499207,161.39484405517578
70,-19.461231231689453,-24.59776496887207,0.2707996964454651,163.1112060546875
71,-11.958229064941406,-24.51906967163086,0.18866382539272308,164.96142101287842
72,-22.695003509521484,-24.706676483154297,0.34936898946762085,166.85062074661255
73,-10.65609359741211,-24.27020835876465,0.0720827728509903,168.55681610107422
74,34.44124984741211,-24.047224044799805,-0.5863865613937378,170.38286900520325
75,20.672754287719727,-24.02761459350586,-0.38422060012817383,172.08793997764587
76,23.555503845214844,-23.90615463256836,-0.39152175188064575,173.8366460800171
77,-5.205173492431641,-24.173093795776367,0.044586628675460815,175.63853573799133
78,34.90369415283203,-23.450620651245117,-0.6026593446731567,177.40716099739075
79,31.271100997924805,-23.961015701293945,-0.5813850164413452,179.11016178131104
80,29.907094955444336,-23.969818115234375,-0.5412299036979675,180.8386070728302
81,-0.32804274559020996,-23.892192840576172,0.018375858664512634,182.50391387939453
82,34.52465057373047,-23.924619674682617,-0.5501915812492371,184.24270105361938
83,-12.148638725280762,-24.131343841552734,0.08360151946544647,186.0446960926056
84,17.1993408203125,-24.077285766601562,-0.276091992855072,187.76527190208435
85,12.00186824798584,-23.815969467163086,-0.20445476472377777,189.39935207366943
86,25.021610260009766,-23.780492782592773,-0.43138718605041504,191.25599193572998
87,-1.530224323272705,-23.815481185913086,-0.017392516136169434,192.9746208190918
88,27.514259338378906,-23.736650466918945,-0.4837031364440918,194.76946306228638
89,6.206089973449707,-23.218164443969727,-0.1611916571855545,196.46343994140625
90,7.953061103820801,-23.82182502746582,-0.11701487004756927,198.10920000076294
91,-17.584598541259766,-24.02027130126953,0.2513267993927002,199.9035530090332
92,22.3157901763916,-23.596311569213867,-0.361444354057312,201.56883811950684
93,-25.185035705566406,-24.014720916748047,0.3607301115989685,203.2464120388031
94,-4.8528289794921875,-24.226116180419922,0.04786691069602966,205.02539205551147
95,-35.063941955566406,-24.138948440551758,0.4792303144931793,206.74108791351318
96,3.735358238220215,-23.34905242919922,-0.053727298974990845,208.41167306900024
97,11.852588653564453,-23.771820068359375,-0.207933247089386,210.24807286262512
98,-16.69837188720703,-23.87389373779297,0.249655082821846,211.9652919769287
99,-9.401910781860352,-24.077917098999023,0.1356198787689209,213.65055084228516
100,6.003905296325684,-23.650409698486328,-0.11959773302078247,215.40467190742493
101,-17.965654373168945,-23.855289459228516,0.199068084359169,217.10254311561584
102,12.974236488342285,-23.480852127075195,-0.2252044379711151,218.73688006401062
103,31.76797866821289,-23.001712799072266,-0.5702651739120483,220.48361587524414
104,1.8738040924072266,-23.43968391418457,-0.08878041803836823,222.16049098968506
105,20.548797607421875,-23.1357421875,-0.33127549290657043,223.93383073806763
106,-0.4538770914077759,-23.435213088989258,-0.04503507912158966,225.5709171295166
107,-8.622965812683105,-23.351768493652344,0.11036400496959686,227.28106904029846
108,-1.4582653045654297,-23.035228729248047,-0.020743131637573242,229.0785949230194
109,-25.976913452148438,-24.089794158935547,0.41036197543144226,230.79642701148987
110,13.840007781982422,-23.44741439819336,-0.2370234876871109,232.54120683670044
111,7.009673118591309,-23.377172470092773,-0.13838323950767517,234.37774395942688
112,-5.795962333679199,-23.76070785522461,0.011243939399719238,236.13188695907593
113,-43.20222473144531,-23.960838317871094,0.6953068971633911,237.93821573257446
114,-40.9138298034668,-23.709794998168945,0.6796019673347473,239.76977610588074
115,-21.62503433227539,-23.74570655822754,0.26754066348075867,241.55521702766418
116,-39.36372375488281,-24.400951385498047,0.5367642045021057,243.32336401939392
117,-18.527217864990234,-24.092037200927734,0.2902296185493469,245.3193998336792
118,-30.616897583007812,-24.339712142944336,0.4638330936431885,247.0714099407196
119,-14.36863899230957,-23.855205535888672,0.20185019075870514,248.96189308166504
120,-53.154083251953125,-24.5715389251709,0.8342478275299072,250.85624480247498
